County Name,Health Topic Number,Health Topic,Indicator Number,Indicator,Event Count,Average Number of Denominator,Measure Unit,Percent/Rate,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,Data Years,Data Source,Mapping Distribution,Location
Greene,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",26,8598,Rate,10.1,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.298326, -73.973376)"
Hamilton,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",0,731,Rate,0,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.618468, -74.395268)"
Hamilton,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",0,731,Rate,0,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.618468, -74.395268)"
Herkimer,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",29,13598,Rate,7.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.070026, -74.994246)"
Herkimer,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",29,13598,Rate,7.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.070026, -74.994246)"
Jefferson,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",95,29711,Rate,10.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(44.019295, -75.898971)"
Jefferson,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",95,29711,Rate,10.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(44.019295, -75.898971)"
Kings,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",6935,606620,Rate,38.1,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.65642, -73.950691)"
Kings,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",6935,606620,Rate,38.1,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.65642, -73.950691)"
Lewis,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",12,6462,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.785537, -75.446296)"
Lewis,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",12,6462,Rate,6.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.785537, -75.446296)"
Livingston,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",21,12320,Rate,5.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.763754, -77.765392)"
Livingston,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",21,12320,Rate,5.7,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.763754, -77.765392)"
Madison,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",61,14877,Rate,13.7,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.986917, -75.720031)"
Madison,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",61,14877,Rate,13.7,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.986917, -75.720031)"
Monroe,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",621,162189,Rate,12.8,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.161748, -77.620143)"
Monroe,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",621,162189,Rate,12.8,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.161748, -77.620143)"
Montgomery,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",34,11332,Rate,10,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.933637, -74.341972)"
Montgomery,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",34,11332,Rate,10,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.933637, -74.341972)"
Nassau,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1941,301744,Rate,21.4,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.715749, -73.601185)"
Nassau,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1941,301744,Rate,21.4,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.715749, -73.601185)"
New York,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",2780,240182,Rate,38.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.726966, -74.005966)"
New York,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",2780,240182,Rate,38.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.726966, -74.005966)"
Niagara,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",154,44064,Rate,11.6,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.134634, -78.856419)"
Niagara,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",154,44064,Rate,11.6,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.134634, -78.856419)"
Oneida,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",177,49777,Rate,11.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.149482, -75.361773)"
Oneida,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",177,49777,Rate,11.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(43.149482, -75.361773)"
Onondaga,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",280,103196,Rate,9,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.065629, -76.168033)"
Onondaga,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",280,103196,Rate,9,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.065629, -76.168033)"
Ontario,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",30,23088,Rate,4.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.894571, -77.252045)"
Ontario,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",30,23088,Rate,4.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.894571, -77.252045)"
Orange,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",312,98237,Rate,10.6,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.422459, -74.241929)"
Orange,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",312,98237,Rate,10.6,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.422459, -74.241929)"
Orleans,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",17,8700,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.248394, -78.218438)"
Orleans,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",17,8700,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.248394, -78.218438)"
Oswego,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",50,26523,Rate,6.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.39123, -76.31133)"
Oswego,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",50,26523,Rate,6.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.39123, -76.31133)"
Otsego,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",29,10543,Rate,9.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.564852, -75.060334)"
Otsego,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",29,10543,Rate,9.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.564852, -75.060334)"
Putnam,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",70,21811,Rate,10.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.41131, -73.717443)"
Putnam,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",70,21811,Rate,10.7,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.41131, -73.717443)"
Queens,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",3890,469507,Rate,27.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.749338, -73.789673)"
Queens,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",3890,469507,Rate,27.6,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.749338, -73.789673)"
Rensselaer,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",132,32666,Rate,13.5,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.70098, -73.628669)"
Rensselaer,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",132,32666,Rate,13.5,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(42.70098, -73.628669)"
Richmond,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",614,106087,Rate,19.3,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.566763, -74.148102)"
Richmond,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",614,106087,Rate,19.3,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.566763, -74.148102)"
Rockland,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",219,88888,Rate,8.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(41.127287, -74.017033)"
Rockland,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",219,88888,Rate,8.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(41.127287, -74.017033)"
Saratoga,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",93,47903,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.00894, -73.786779)"
Saratoga,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",93,47903,Rate,6.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.00894, -73.786779)"
Schenectady,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",102,34437,Rate,9.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.809233, -73.946838)"
Schenectady,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",102,34437,Rate,9.9,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(42.809233, -73.946838)"
Schoharie,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",11,6076,Rate,6,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.643426, -74.434606)"
Schoharie,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",11,6076,Rate,6,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.643426, -74.434606)"
Schuyler,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",6,3649,Rate,5.5,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.38593, -76.872032)"
Schuyler,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",6,3649,Rate,5.5,,,Unstable Estimate,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.38593, -76.872032)"
Seneca,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,7176,Rate,8.8,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.833627, -76.82753)"
Seneca,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",19,7176,Rate,8.8,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.833627, -76.82753)"
St. Lawrence,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",64,23171,Rate,9.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.689468, -75.242045)"
St. Lawrence,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",64,23171,Rate,9.2,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(44.689468, -75.242045)"
Steuben,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",46,22183,Rate,6.9,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.270053, -77.324618)"
Steuben,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",46,22183,Rate,6.9,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.270053, -77.324618)"
Suffolk,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1918,339815,Rate,18.8,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.820237, -73.119032)"
Suffolk,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1918,339815,Rate,18.8,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(40.820237, -73.119032)"
