Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2016–17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,80.9,74,,91,93,82,,79.7,67.7,84.2,81,76.8,81.7,64.7,,,,,,,,,,,,,,,,,,,,,
New Hampshire,88.9,75,,93,93,≥50,,76,79,89.8,85,77.5,78,74,,,,,,,,,,,,,,,,,,,,,
New Jersey,90.5,92,,96.6,96.6,≥95,,84.3,83.4,94.5,92,84.0,76.1,78.8,,,,,,,,,,,,,,,,,,,,,
New Mexico,71.1,61,,85,—,—,,70.5,68,76.4,—,66.4,68.1,61.5,,,,,,,,,,,,,,,,,,,,,
New York,81.8,67,,87.7,88.0,77,,71.2,71.5,89.8,83,75.3,30.8,55.4,,,,,,,,,,,,,,,,,,,,,
North Carolina,86.6,84,,93.8,—,—,,80.6,83.9,89.3,84.3,81.8,58,70.3,,,,,,,,,,,,,,,,,,,,,
North Dakota,87.2,68,,80,80,—,,76,75,90.5,—,74,69,66,,,,,,,,,,,,,,,,,,,,,
Ohio,84.2,76,,88,—,—,,73.6,68.6,88.2,78.7,73.1,55,70.5,,,,,,,,,,,,,,,,,,,,,
Oklahoma,82.6,82.7,,86,86,84,,79.3,80.3,83.7,82.5,76.8,57,77.0,,,,,,,,,,,,,,,,,,,,,
Oregon,76.7,59,,86,89,69,,72.5,68,78.0,77,70.1,55,58.8,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,86.6,73,,92.4,92.4,90,,73.9,73.8,91.0,79,79.8,65.0,73.6,,,,,,,,,,,,,,,,,,,,,
Rhode Island,84.1,73,,88,89,68,,76,81,87.7,79,76.0,72,63,,,,,,,,,,,,,,,,,,,,,
See notes at end of table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2016–17—Continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent of students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Total,American Indian / Alaska Native,,Total,Asian1,Hawaiian Native/Pacific Islander1,,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities,,,,,,,,,,,,,,,,,,,,,
South Carolina,83.6,76,,93,—,—,,80.5,81.3,85.2,—,85.1,77,53.5,,,,,,,,,,,,,,,,,,,,,
South Dakota,83.7,50,,85,<>,<>,,71,78,89.5,78,67,59,60,,,,,,,,,,,,,,,,,,,,,
Tennessee,89.8,89,,94,94,93,,83.8,84.0,92.6,—,84.5,74,72.7,,,,,,,,,,,,,,,,,,,,,
Texas,89.7,86,,95.8,96.1,89,,87.7,86.1,93.6,91.7,86.9,75.5,77.4,,,,,,,,,,,,,,,,,,,,,
Utah,86.0,74,,87,89,86,,77.3,73,88.3,87,76.6,67,69.4,,,,,,,,,,,,,,,,,,,,,
Vermont,89.1,<>,,82,<>,<>,,90,77,89.8,83,81,66,76,,,,,,,,,,,,,,,,,,,,,
Virginia3,86.9,83,,93.4,93.5,91,,73.0,82.8,91.3,90.0,77.8,57.3,59.8,,,,,,,,,,,,,,,,,,,,,
Washington,79.4,62,,85.3,87.5,68,,72.7,71.5,81.9,79.7,70.0,57.8,59.4,,,,,,,,,,,,,,,,,,,,,
West Virginia,89.4,≥80,,95,95,≥50,,92,87,89.5,83,87.3,<>,76,,,,,,,,,,,,,,,,,,,,,
Wisconsin,88.6,79,,91,91,85,,80.3,67.0,92.7,84,77.4,65,68.2,,,,,,,,,,,,,,,,,,,,,
Wyoming,86.2,59,,84,81,≥50,,80,83,87.5,79,65,77,68,,,,,,,,,,,,,,,,,,,,,
— Not available.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<> Data were suppressed to protect the confidentiality of individual student data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
≥ Greater than or equal to. The estimate has been top coded to protect the confidentiality of individual student data.  Rates reported as whole numbers are rounded to protect the confidentiality of individual students.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1The 2016-17 school year marks the second time NCES has published data for the Asian, Pacific Islander and Two or more races categories.  Not all states report using all of the additional subgroups.  Subgroups that are not reported by a state appear as “– Not Available”. California reports using the additional racial subgroup “FILIPINO”. The cohort and resulting rate for the “Native Hawaiian/Pacific Islander” in California include students reported using the “FILIPINO” category. For SY 2016-17, the following states made allowable changes to how they report these subgroups: Alaska, Minnesota and New York. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2The United States 4-year ACGR for American Indian/Alaska Native students, Economically disadvantaged, Limited English proficiency, and Students with disabilities was estimated using both the reported 4-year ACGR data from 49 states and the District of Columbia and using data from the Alabama State Education Agency website since the state did not report a rate to the U.S. Department of Education for those subgroups for school year 2016-17.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3In SY 2016-17, Virginia began reporting an 'American Indian / Alaska Native' rate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: The 4-year ACGR is the number of students who graduate in 4 years with a regular high school diploma divided by the number of students who form the adjusted cohort for the graduating class. From the beginning of 9th grade (or the earliest high school grade), students who are entering that grade for the first time form a cohort that is “adjusted” by adding any students who subsequently transfer into the cohort and subtracting any students who subsequently transfer out, emigrate to another country, or die. Puerto Rico submits a 3-year ACGR so their rate is not included in the table.  In addtion, there are some differences in how states implemented the requirements for the ACGR, leading to the potential for differences across states in how the rates are calculated.  This is particularly applicable to the population of children with disabilities. Black includes African American, Hispanic includes Latino, Asian/Pacific Islander includes Native Hawaiian or Other Pacific Islander, and American Indian includes Alaska Native. Race categories exclude Hispanic origin unless specified. The following states had differences of more than 2 percentage points above or below the prior year:  Alabama, Alaska, District of Columbia, Indiana, Nevada and West Virginia.  All of these states (with the exception of Alabama) provided explanations for the increase/decrease. Differences of more than 5 percentage points above or below the prior year for any subgroup over 50 in cohort size were addressed with states through ED’s Coordinated Data Quality Review. Data notes resulting from the Data Quality Review explaining these differences can be found on the EDFacts Data Files page (https://www2.ed.gov/about/inits/ed/edfacts/data-files/index.html#acgr) of ED.gov.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: EDFacts Data Groups 695, School year 2016–17; September 28, 2018; and Alabama State Department of Education website, 2016-2017 Cohort Graduation Rate, https://www.alsde.edu/dept/data/Pages/graduationrate-all.aspx?navtext=Cohort20Reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
