"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"41469","2016","2016","2016","KS","Kansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.2","","","30.1","32.3","10,947","38.34774030000045","-98.20078122699965","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"41487","2016","2016","2016","KY","Kentucky","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.2","","","32.7","35.6","9,583","37.645970271000465","-84.77497104799966","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"40395","2016","2016","2016","LA","Louisiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.5","","","33.4","37.7","4,868","31.31266064400046","-92.44568007099969","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"40948","2016","2016","2016","ME","Maine","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.9","","","28.5","31.3","9,554","45.254228894000505","-68.98503133599962","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"40966","2016","2016","2016","MD","Maryland","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.9","","","28.9","31.0","16,701","39.29058096400047","-76.60926011099963","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"41001","2016","2016","2016","MA","Massachusetts","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","23.6","","","22.3","24.9","7,480","42.27687047000046","-72.08269067499964","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"40216","2016","2016","2016","MI","Michigan","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.5","","","31.4","33.6","11,130","44.6613195430005","-84.71439026999968","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
"41050","2016","2016","2016","MN","Minnesota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.8","","","26.9","28.6","15,420","46.35564873600049","-94.79420050299967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","27","","","",""
"41085","2016","2016","2016","MS","Mississippi","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.3","","","35.4","39.1","4,821","32.745510099000455","-89.53803082499968","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","28","","","",""
"40317","2016","2016","2016","MO","Missouri","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.7","","","30.0","33.4","6,578","38.635790776000476","-92.56630005299968","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","29","","","",""
"41545","2016","2016","2016","MT","Montana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.5","","","23.9","27.2","5,483","47.06652897200047","-109.42442064499971","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","30","","","",""
"41546","2016","2016","2016","NE","Nebraska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.0","","","30.8","33.2","14,173","41.6410409880005","-99.36572062299967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","31","","","",""
"41547","2016","2016","2016","NV","Nevada","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.8","","","23.9","27.8","3,981","39.493240390000494","-117.07184056399967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","32","","","",""
"41548","2016","2016","2016","NH","New Hampshire","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.6","","","25.0","28.2","5,888","43.65595011300047","-71.50036091999965","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","33","","","",""
"41549","2016","2016","2016","NJ","New Jersey","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.4","","","25.7","29.1","6,810","40.13057004800049","-74.27369128799967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","34","","","",""
"41550","2016","2016","2016","NM","New Mexico","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.3","","","26.6","30.1","5,531","34.52088095200048","-106.24058098499967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","35","","","",""
"41551","2016","2016","2016","NY","New York","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.5","","","24.6","26.5","31,269","42.82700103200045","-75.54397042699964","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","36","","","",""
"41552","2016","2016","2016","NC","North Carolina","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.8","","","30.4","33.3","5,984","35.466220975000454","-79.15925046299964","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","37","","","",""
"41553","2016","2016","2016","ND","North Dakota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.9","","","30.3","33.6","5,348","47.47531977900047","-100.11842104899966","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","38","","","",""
"41554","2016","2016","2016","OH","Ohio","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.5","","","30.2","32.8","11,455","40.06021014100048","-82.40426005599966","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","39","","","",""
"41555","2016","2016","2016","OK","Oklahoma","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.8","","","31.2","34.3","6,449","35.47203135600046","-97.52107021399968","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","40","","","",""
"41556","2016","2016","2016","OR","Oregon","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.7","","","27.3","30.3","5,000","44.56744942400047","-120.15503132599969","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","41","","","",""
"41557","2016","2016","2016","PA","Pennsylvania","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.3","","","28.8","31.8","6,367","40.79373015200048","-77.86070029399963","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","42","","","",""
"41558","2016","2016","2016","RI","Rhode Island","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.6","","","24.9","28.4","4,936","41.70828019300046","-71.52247031399963","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","44","","","",""
"41559","2016","2016","2016","SC","South Carolina","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.3","","","31.0","33.6","10,503","33.998821303000454","-81.04537120699968","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","45","","","",""
"41560","2016","2016","2016","SD","South Dakota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.6","","","27.6","31.7","5,371","44.353130053000484","-100.3735306369997","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","46","","","",""
"41561","2016","2016","2016","TN","Tennessee","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.8","","","33.0","36.7","5,657","35.68094058000048","-85.77449091399967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","47","","","",""
"41562","2016","2016","2016","TX","Texas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.7","","","31.9","35.4","10,789","31.827240407000488","-99.42677020599967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","48","","","",""
"41563","2016","2016","2016","UT","Utah","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.4","","","24.2","26.5","10,043","39.360700171000474","-111.58713063499971","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","49","","","",""
"41564","2016","2016","2016","VT","Vermont","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.1","","","25.5","28.7","6,071","43.62538123900049","-72.51764079099962","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","50","","","",""
"41749","2016","2016","2016","VA","Virginia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.0","","","27.7","30.3","8,293","37.54268067400045","-78.45789046299967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","51","","","",""
"41750","2016","2016","2016","WA","Washington","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.6","","","27.6","29.6","12,990","47.52227862900048","-120.47001078999972","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","53","","","",""
"41751","2016","2016","2016","WV","West Virginia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.7","","","36.3","39.0","6,635","38.66551020200046","-80.71264013499967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","54","","","",""
"41752","2016","2016","2016","WI","Wisconsin","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.7","","","29.0","32.5","4,793","44.39319117400049","-89.81637074199966","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","55","","","",""
"41753","2016","2016","2016","WY","Wyoming","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.7","","","25.7","29.8","4,200","43.23554134300048","-108.10983035299967","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","56","","","",""
"41754","2016","2016","2016","GU","Guam","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.3","","","25.1","31.7","1,477","13.444304","144.793731","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","66","","","",""
"41755","2016","2016","2016","PR","Puerto Rico","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.7","","","29.0","32.5","5,528","18.220833","-66.590149","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","72","","","",""
"41756","2016","2016","2016","VI","Virgin Islands","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.5","","","28.6","36.6","1,203","18.335765","-64.896335","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","78","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","†","Obese is defined as body mass index (BMI) =30.0; BMI was calculated from self-reported weight and height (weight [kg]/ height [m²). Respondents reporting weight< 50 pounds or =650 pounds; height< 3 feet or =8 feet; or BMI:<12 or =100 were excluded. Pregnant respondents were also excluded.","","Footnote"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Behavioral Risk Factor Surveillance System (BRFSS) - http://www.cdc.gov/brfss/","https://www.cdc.gov/brfss/","Data Source"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Centers for Disease Control and Prevention. National Center for Chronic Disease Prevention and Health Promotion, Division of Nutrition, Physical Activity, and Obesity. Data, Trend and Maps [online].","/nccdphp/dnpao/data-trends-maps/index.html","Suggested Citation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Breastfeeding","/breastfeeding/index.htm","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Division of Nutrition, Physical Activity, and Obesity","/nccdphp/dnpao/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Physical Activity","/physicalactivity/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chronic Disease Prevention and Health Promotion","/chronicdisease/index.htm","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Overweight and Obesity","/obesity/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State and Local Programs","/nccdphp/dnpao/state-local-programs/index.html","Related Links"
