LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,Total less than 18,1998,Percent,1
Nation,United States,15 to 17,1998,Percent,0.17
Nation,United States,12 to 14,1998,Percent,0.17
Nation,United States,5 to 11,1998,Percent,0.4
Nation,United States,5 to 11,1999,Percent,0.4
Nation,United States,12 to 14,1999,Percent,0.17
Nation,United States,15 to 17,1999,Percent,0.17
Nation,United States,Total less than 18,1999,Percent,1
Nation,United States,0 to 4,1999,Percent,0.27
Nation,United States,0 to 4,1999,Number,19135544
Nation,United States,Total less than 18,1999,Number,71946049
Nation,United States,15 to 17,1999,Number,11990681
Nation,United States,Total less than 18,2000,Number,72376189
Nation,United States,0 to 4,2000,Number,19178293
Nation,United States,5 to 11,2000,Number,28934345
Nation,United States,12 to 14,2000,Number,12167203
Nation,United States,15 to 17,2000,Number,12096348
Nation,United States,12 to 14,1999,Number,12028529
Nation,United States,5 to 11,1999,Number,28791295
Nation,United States,Total less than 18,2000,Percent,1
Nation,United States,0 to 4,2000,Percent,0.26
Nation,United States,5 to 11,2000,Percent,0.4
Nation,United States,12 to 14,2000,Percent,0.17
Nation,United States,15 to 17,2000,Percent,0.17
Nation,United States,Total less than 18,2001,Percent,1
Nation,United States,0 to 4,2001,Percent,0.27
Nation,United States,5 to 11,2001,Percent,0.4
Nation,United States,12 to 14,2001,Percent,0.17
Nation,United States,15 to 17,2001,Percent,0.17
Nation,United States,Total less than 18,2001,Number,72671175
Nation,United States,0 to 4,2001,Number,19298217
Nation,United States,5 to 11,2001,Number,28795524
Nation,United States,12 to 14,2001,Number,12356516
Nation,United States,15 to 17,2001,Number,12220918
Nation,United States,Total less than 18,2002,Number,72936457
Nation,United States,0 to 4,2002,Number,19429192
Nation,United States,5 to 11,2002,Number,28411953
Nation,United States,12 to 14,2002,Number,12721885
Nation,United States,15 to 17,2002,Number,12373427
Nation,United States,Total less than 18,2002,Percent,1
Nation,United States,0 to 4,2002,Percent,0.27
Nation,United States,5 to 11,2002,Percent,0.39
Nation,United States,12 to 14,2002,Percent,0.17
Nation,United States,15 to 17,2002,Percent,0.17
Nation,United States,Total less than 18,2003,Percent,1
Nation,United States,0 to 4,2003,Percent,0.27
Nation,United States,5 to 11,2003,Percent,0.38
Nation,United States,12 to 14,2003,Percent,0.18
Nation,United States,15 to 17,2003,Percent,0.17
Nation,United States,Total less than 18,2003,Number,73100758
Nation,United States,0 to 4,2003,Number,19592446
Nation,United States,5 to 11,2003,Number,28079940
Nation,United States,12 to 14,2003,Number,12956264
Nation,United States,15 to 17,2003,Number,12472108
Nation,United States,Total less than 18,2004,Number,73297735
Nation,United States,0 to 4,2004,Number,19785885
Nation,United States,5 to 11,2004,Number,27813909
Nation,United States,12 to 14,2004,Number,13052008
Nation,United States,15 to 17,2004,Number,12645933
Nation,United States,Total less than 18,2004,Percent,1
Nation,United States,0 to 4,2004,Percent,0.27
Nation,United States,5 to 11,2004,Percent,0.38
Nation,United States,12 to 14,2004,Percent,0.18
Nation,United States,15 to 17,2004,Percent,0.17
Nation,United States,Total less than 18,2005,Percent,1
Nation,United States,0 to 4,2005,Percent,0.27
Nation,United States,5 to 11,2005,Percent,0.38
Nation,United States,12 to 14,2005,Percent,0.18
Nation,United States,15 to 17,2005,Percent,0.18
Nation,United States,Total less than 18,2005,Number,73523669
Nation,United States,0 to 4,2005,Number,19917400
Nation,United States,5 to 11,2005,Number,27688417
Nation,United States,12 to 14,2005,Number,12913229
Nation,United States,15 to 17,2005,Number,13004623
Nation,United States,Total less than 18,2006,Number,73757714
Nation,United States,0 to 4,2006,Number,19938883
Nation,United States,5 to 11,2006,Number,27807763
Nation,United States,12 to 14,2006,Number,12770063
Nation,United States,15 to 17,2006,Number,13241005
Nation,United States,Total less than 18,2006,Percent,1
Nation,United States,0 to 4,2006,Percent,0.27
Nation,United States,5 to 11,2006,Percent,0.38
Nation,United States,12 to 14,2006,Percent,0.17
Nation,United States,15 to 17,2006,Percent,0.18
Nation,United States,Total less than 18,2007,Percent,1
Nation,United States,0 to 4,2007,Percent,0.27
Nation,United States,5 to 11,2007,Percent,0.38
Nation,United States,12 to 14,2007,Percent,0.17
Nation,United States,15 to 17,2007,Percent,0.18
Nation,United States,Total less than 18,2007,Number,74019405
Nation,United States,0 to 4,2007,Number,20125962
Nation,United States,5 to 11,2007,Number,27896821
Nation,United States,12 to 14,2007,Number,12658832
Nation,United States,15 to 17,2007,Number,13337790
Nation,United States,Total less than 18,2008,Number,74104602
Nation,United States,0 to 4,2008,Number,20271127
Nation,United States,5 to 11,2008,Number,28078670
Nation,United States,12 to 14,2008,Number,12557587
Nation,United States,15 to 17,2008,Number,13197218
Nation,United States,Total less than 18,2008,Percent,1
Nation,United States,0 to 4,2008,Percent,0.27
Nation,United States,5 to 11,2008,Percent,0.38
Nation,United States,12 to 14,2008,Percent,0.17
Nation,United States,15 to 17,2008,Percent,0.18
Nation,United States,Total less than 18,2013,Percent,1
Nation,United States,5 to 11,2013,Percent,0.39
Nation,United States,15 to 17,2013,Percent,0.17
Nation,United States,12 to 14,2013,Percent,0.17
Nation,United States,0 to 4,2013,Percent,0.27
Nation,United States,0 to 4,2013,Number,19847941
Nation,United States,12 to 14,2013,Number,12524338
Nation,United States,15 to 17,2013,Number,12504874
Nation,United States,Total less than 18,2013,Number,73574334
Nation,United States,5 to 11,2013,Number,28697181
Nation,United States,Total less than 18,2009,Number,74134167
Nation,United States,0 to 4,2009,Number,20244518
Nation,United States,5 to 11,2009,Number,28382194
Nation,United States,12 to 14,2009,Number,12460869
Nation,United States,15 to 17,2009,Number,13046586
Nation,United States,Total less than 18,2009,Percent,1
Nation,United States,0 to 4,2009,Percent,0.27
Nation,United States,5 to 11,2009,Percent,0.38
Nation,United States,12 to 14,2009,Percent,0.17
Nation,United States,15 to 17,2009,Percent,0.18
Nation,United States,Total less than 18,2010,Percent,1
Nation,United States,5 to 11,2010,Percent,0.39
Nation,United States,15 to 17,2010,Percent,0.17
Nation,United States,12 to 14,2010,Percent,0.17
Nation,United States,0 to 4,2010,Percent,0.27
Nation,United States,0 to 4,2010,Number,20188773
Nation,United States,12 to 14,2010,Number,12378314
Nation,United States,15 to 17,2010,Number,12920150
Nation,United States,5 to 11,2010,Number,28633559
Nation,United States,Total less than 18,2010,Number,74120796
Nation,United States,0 to 4,2015,Number,19915730
Nation,United States,12 to 14,2015,Number,12363059
Nation,United States,15 to 17,2015,Number,12626352
Nation,United States,Total less than 18,2015,Number,73628376
Nation,United States,5 to 11,2015,Number,28723235
Nation,United States,Total less than 18,2015,Percent,1
Nation,United States,5 to 11,2015,Percent,0.39
Nation,United States,15 to 17,2015,Percent,0.17
Nation,United States,12 to 14,2015,Percent,0.17
Nation,United States,0 to 4,2015,Percent,0.27
Nation,United States,Total less than 18,2011,Percent,1
Nation,United States,5 to 11,2011,Percent,0.39
Nation,United States,15 to 17,2011,Percent,0.17
Nation,United States,12 to 14,2011,Percent,0.17
Nation,United States,0 to 4,2011,Percent,0.27
Nation,United States,0 to 4,2011,Number,20122646
Nation,United States,12 to 14,2011,Number,12381446
Nation,United States,15 to 17,2011,Number,12740558
Nation,United States,5 to 11,2011,Number,28665557
Nation,United States,Total less than 18,2011,Number,73910207
Nation,United States,0 to 4,2012,Number,19975163
Nation,United States,12 to 14,2012,Number,12480082
Nation,United States,15 to 17,2012,Number,12586161
Nation,United States,Total less than 18,2012,Number,73700360
Nation,United States,5 to 11,2012,Number,28658954
Nation,United States,Total less than 18,2012,Percent,1
Nation,United States,5 to 11,2012,Percent,0.39
Nation,United States,15 to 17,2012,Percent,0.17
Nation,United States,12 to 14,2012,Percent,0.17
Nation,United States,0 to 4,2012,Percent,0.27
Nation,United States,Total less than 18,2014,Percent,1
Nation,United States,5 to 11,2014,Percent,0.39
Nation,United States,15 to 17,2014,Percent,0.17
Nation,United States,12 to 14,2014,Percent,0.17
Nation,United States,0 to 4,2014,Percent,0.27
Nation,United States,0 to 4,2014,Number,19870818
Nation,United States,12 to 14,2014,Number,12469447
Nation,United States,15 to 17,2014,Number,12515349
Nation,United States,5 to 11,2014,Number,28715432
Nation,United States,Total less than 18,2014,Number,73571046
Nation,United States,0 to 4,2016,Number,19919577
Nation,United States,12 to 14,2016,Number,12349966
Nation,United States,15 to 17,2016,Number,12682529
Nation,United States,5 to 11,2016,Number,28706740
Nation,United States,Total less than 18,2016,Number,73658812
Nation,United States,Total less than 18,2016,Percent,1
Nation,United States,5 to 11,2016,Percent,0.39
Nation,United States,15 to 17,2016,Percent,0.17
Nation,United States,12 to 14,2016,Percent,0.17
Nation,United States,0 to 4,2016,Percent,0.27
Nation,United States,Total less than 18,2017,Percent,1
Nation,United States,5 to 11,2017,Percent,0.39
Nation,United States,15 to 17,2017,Percent,0.17
Nation,United States,12 to 14,2017,Percent,0.17
Nation,United States,0 to 4,2017,Percent,0.27
Nation,United States,0 to 4,2017,Number,19938860
Nation,United States,12 to 14,2017,Number,12428573
Nation,United States,15 to 17,2017,Number,12633826
Nation,United States,5 to 11,2017,Number,28654119
Nation,United States,Total less than 18,2017,Number,73655378
State,Alabama,Total less than 18,2017,Number,1095473
State,Alabama,5 to 11,2017,Number,425486
State,Alabama,15 to 17,2017,Number,192175
State,Alabama,12 to 14,2017,Number,184258
State,Alabama,0 to 4,2017,Number,293554
State,Alabama,0 to 4,2017,Percent,0.27
State,Alabama,15 to 17,2017,Percent,0.18
State,Alabama,12 to 14,2017,Percent,0.17
State,Alabama,5 to 11,2017,Percent,0.39
State,Alabama,Total less than 18,2017,Percent,1
State,Alabama,12 to 14,2016,Percent,0.17
State,Alabama,0 to 4,2016,Percent,0.27
State,Alabama,15 to 17,2016,Percent,0.18
State,Alabama,5 to 11,2016,Percent,0.39
State,Alabama,Total less than 18,2016,Percent,1
State,Alabama,Total less than 18,2016,Number,1098851
State,Alabama,5 to 11,2016,Number,426440
State,Alabama,15 to 17,2016,Number,194806
State,Alabama,12 to 14,2016,Number,184024
State,Alabama,0 to 4,2016,Number,293581
State,Alabama,Total less than 18,2014,Number,1105916
State,Alabama,5 to 11,2014,Number,428535
State,Alabama,15 to 17,2014,Number,192228
State,Alabama,12 to 14,2014,Number,191601
State,Alabama,0 to 4,2014,Number,293552
State,Alabama,0 to 4,2014,Percent,0.27
State,Alabama,12 to 14,2014,Percent,0.17
State,Alabama,5 to 11,2014,Percent,0.39
State,Alabama,15 to 17,2014,Percent,0.17
State,Alabama,Total less than 18,2014,Percent,1
State,Alabama,0 to 4,2012,Percent,0.27
State,Alabama,15 to 17,2012,Percent,0.17
State,Alabama,12 to 14,2012,Percent,0.17
State,Alabama,5 to 11,2012,Percent,0.39
State,Alabama,Total less than 18,2012,Percent,1
State,Alabama,5 to 11,2012,Number,431498
State,Alabama,Total less than 18,2012,Number,1116630
State,Alabama,15 to 17,2012,Number,192002
State,Alabama,12 to 14,2012,Number,193936
State,Alabama,0 to 4,2012,Number,299194
State,Alabama,Total less than 18,2011,Number,1123780
State,Alabama,5 to 11,2011,Number,434506
State,Alabama,15 to 17,2011,Number,194795
State,Alabama,12 to 14,2011,Number,191677
State,Alabama,0 to 4,2011,Number,302802
State,Alabama,12 to 14,2011,Percent,0.17
State,Alabama,0 to 4,2011,Percent,0.27
State,Alabama,15 to 17,2011,Percent,0.17
State,Alabama,5 to 11,2011,Percent,0.39
State,Alabama,0 to 4,2015,Percent,0.27
State,Alabama,Total less than 18,2011,Percent,1
State,Alabama,12 to 14,2015,Percent,0.17
State,Alabama,15 to 17,2015,Percent,0.18
State,Alabama,Total less than 18,2015,Percent,1
State,Alabama,5 to 11,2015,Percent,0.39
State,Alabama,5 to 11,2015,Number,427575
State,Alabama,Total less than 18,2015,Number,1102937
State,Alabama,15 to 17,2015,Number,194118
State,Alabama,12 to 14,2015,Number,187340
State,Alabama,0 to 4,2015,Number,293904
State,Alabama,Total less than 18,2010,Number,1130463
State,Alabama,5 to 11,2010,Number,436396
State,Alabama,15 to 17,2010,Number,198824
State,Alabama,12 to 14,2010,Number,190977
State,Alabama,0 to 4,2010,Number,304266
State,Alabama,0 to 4,2010,Percent,0.27
State,Alabama,12 to 14,2010,Percent,0.17
State,Alabama,5 to 11,2010,Percent,0.39
State,Alabama,15 to 17,2010,Percent,0.18
State,Alabama,Total less than 18,2010,Percent,1
State,Alabama,Total less than 18,2009,Percent,1
State,Alabama,0 to 4,2009,Percent,0.27
State,Alabama,5 to 11,2009,Percent,0.38
State,Alabama,12 to 14,2009,Percent,0.17
State,Alabama,15 to 17,2009,Percent,0.18
State,Alabama,Total less than 18,2009,Number,1134192
State,Alabama,0 to 4,2009,Number,305412
State,Alabama,5 to 11,2009,Number,435432
State,Alabama,12 to 14,2009,Number,191504
State,Alabama,15 to 17,2009,Number,201844
State,Alabama,5 to 11,2013,Number,429210
State,Alabama,Total less than 18,2013,Number,1109577
State,Alabama,15 to 17,2013,Number,191369
State,Alabama,12 to 14,2013,Number,194457
State,Alabama,0 to 4,2013,Number,294541
State,Alabama,12 to 14,2013,Percent,0.18
State,Alabama,0 to 4,2013,Percent,0.27
State,Alabama,15 to 17,2013,Percent,0.17
State,Alabama,5 to 11,2013,Percent,0.39
State,Alabama,0 to 4,1999,Number,294940
State,Alabama,Total less than 18,2013,Percent,1
State,Alabama,Total less than 18,2008,Percent,1
State,Alabama,0 to 4,2008,Percent,0.27
State,Alabama,5 to 11,2008,Percent,0.38
State,Alabama,12 to 14,2008,Percent,0.17
State,Alabama,15 to 17,2008,Percent,0.18
State,Alabama,Total less than 18,2008,Number,1134927
State,Alabama,0 to 4,2008,Number,304842
State,Alabama,5 to 11,2008,Number,432987
State,Alabama,12 to 14,2008,Number,193198
State,Alabama,15 to 17,2008,Number,203900
State,Alabama,Total less than 18,2007,Number,1132296
State,Alabama,0 to 4,2007,Number,300300
State,Alabama,5 to 11,2007,Number,431504
State,Alabama,12 to 14,2007,Number,194916
State,Alabama,15 to 17,2007,Number,205576
State,Alabama,Total less than 18,2007,Percent,1
State,Alabama,0 to 4,2007,Percent,0.27
State,Alabama,5 to 11,2007,Percent,0.38
State,Alabama,12 to 14,2007,Percent,0.17
State,Alabama,15 to 17,2007,Percent,0.18
State,Alabama,Total less than 18,2006,Percent,1
State,Alabama,0 to 4,2006,Percent,0.26
State,Alabama,5 to 11,2006,Percent,0.38
State,Alabama,12 to 14,2006,Percent,0.17
State,Alabama,15 to 17,2006,Percent,0.18
State,Alabama,Total less than 18,2006,Number,1126798
State,Alabama,0 to 4,2006,Number,297222
State,Alabama,5 to 11,2006,Number,429749
State,Alabama,12 to 14,2006,Number,195699
State,Alabama,15 to 17,2006,Number,204128
State,Alabama,Total less than 18,2005,Number,1117229
State,Alabama,0 to 4,2005,Number,296441
State,Alabama,5 to 11,2005,Number,424553
State,Alabama,12 to 14,2005,Number,196925
State,Alabama,15 to 17,2005,Number,199310
State,Alabama,Total less than 18,2004,Percent,1
State,Alabama,0 to 4,2004,Percent,0.27
State,Alabama,5 to 11,2004,Percent,0.38
State,Alabama,12 to 14,2004,Percent,0.18
State,Alabama,15 to 17,2004,Percent,0.17
State,Alabama,Total less than 18,2005,Percent,1
State,Alabama,0 to 4,2005,Percent,0.27
State,Alabama,5 to 11,2005,Percent,0.38
State,Alabama,12 to 14,2005,Percent,0.18
State,Alabama,15 to 17,2005,Percent,0.18
State,Alabama,Total less than 18,2003,Number,1113083
State,Alabama,0 to 4,2003,Number,295204
State,Alabama,5 to 11,2003,Number,427596
State,Alabama,12 to 14,2003,Number,198194
State,Alabama,15 to 17,2003,Number,192089
State,Alabama,Total less than 18,2004,Number,1113662
State,Alabama,0 to 4,2004,Number,295970
State,Alabama,5 to 11,2004,Number,424823
State,Alabama,12 to 14,2004,Number,198959
State,Alabama,15 to 17,2004,Number,193910
State,Alabama,Total less than 18,2003,Percent,1
State,Alabama,0 to 4,2003,Percent,0.27
State,Alabama,5 to 11,2003,Percent,0.38
State,Alabama,12 to 14,2003,Percent,0.18
State,Alabama,15 to 17,2003,Percent,0.17
State,Alabama,Total less than 18,2002,Percent,1
State,Alabama,0 to 4,2002,Percent,0.27
State,Alabama,5 to 11,2002,Percent,0.39
State,Alabama,12 to 14,2002,Percent,0.17
State,Alabama,15 to 17,2002,Percent,0.17
State,Alabama,Total less than 18,2001,Number,1120409
State,Alabama,0 to 4,2001,Number,296624
State,Alabama,5 to 11,2001,Number,440186
State,Alabama,12 to 14,2001,Number,190955
State,Alabama,15 to 17,2001,Number,192644
State,Alabama,Total less than 18,2002,Number,1116590
State,Alabama,0 to 4,2002,Number,296046
State,Alabama,5 to 11,2002,Number,432436
State,Alabama,12 to 14,2002,Number,195204
State,Alabama,15 to 17,2002,Number,192904
State,Alabama,Total less than 18,2001,Percent,1
State,Alabama,0 to 4,2001,Percent,0.26
State,Alabama,5 to 11,2001,Percent,0.39
State,Alabama,12 to 14,2001,Percent,0.17
State,Alabama,15 to 17,2001,Percent,0.17
State,Alabama,Total less than 18,2000,Percent,1
State,Alabama,0 to 4,2000,Percent,0.26
State,Alabama,5 to 11,2000,Percent,0.4
State,Alabama,12 to 14,2000,Percent,0.17
State,Alabama,15 to 17,2000,Percent,0.17
State,Alabama,12 to 14,1999,Number,190292
State,Alabama,5 to 11,1999,Number,442836
State,Alabama,Total less than 18,2000,Number,1122273
State,Alabama,0 to 4,2000,Number,295185
State,Alabama,5 to 11,2000,Number,444252
State,Alabama,12 to 14,2000,Number,190298
State,Alabama,15 to 17,2000,Number,192538
State,Alabama,15 to 17,1999,Number,193219
State,Alabama,Total less than 18,1999,Number,1121287
State,Alabama,Total less than 18,1999,Percent,1
State,Alabama,12 to 14,1999,Percent,0.17
State,Alabama,15 to 17,1999,Percent,0.17
State,Alabama,5 to 11,1999,Percent,0.39
State,Alabama,5 to 11,1998,Percent,0.39
State,Alabama,12 to 14,1998,Percent,0.17
State,Alabama,15 to 17,1998,Percent,0.18
State,Alabama,Total less than 18,1998,Percent,1
State,Alabama,0 to 4,1998,Percent,0.26
State,Alabama,0 to 4,1999,Percent,0.26
State,Alabama,Total less than 18,1998,Number,1118252
State,Alabama,15 to 17,1998,Number,196142
State,Alabama,12 to 14,1998,Number,189066
State,Alabama,5 to 11,1998,Number,438562
State,Alabama,5 to 11,1997,Number,436595
State,Alabama,0 to 4,1997,Number,297163
State,Alabama,0 to 4,1998,Number,294482
State,Alabama,12 to 14,1997,Number,189864
State,Alabama,15 to 17,1997,Number,199271
State,Alabama,Total less than 18,1997,Number,1122893
State,Alabama,0 to 4,1997,Percent,0.26
State,Alabama,Total less than 18,1997,Percent,1
State,Alabama,15 to 17,1997,Percent,0.18
State,Alabama,12 to 14,1997,Percent,0.17
State,Alabama,5 to 11,1996,Percent,0.39
State,Alabama,5 to 11,1997,Percent,0.39
State,Alabama,12 to 14,1996,Percent,0.17
State,Alabama,15 to 17,1996,Percent,0.18
State,Alabama,0 to 4,1996,Percent,0.27
State,Alabama,Total less than 18,1996,Percent,1
State,Alabama,Total less than 18,1996,Number,1112092
State,Alabama,15 to 17,1996,Number,197322
State,Alabama,12 to 14,1996,Number,188725
State,Alabama,5 to 11,1996,Number,428278
State,Alabama,5 to 11,1995,Number,422904
State,Alabama,0 to 4,1995,Number,301494
State,Alabama,0 to 4,1996,Number,297767
State,Alabama,12 to 14,1995,Number,191106
State,Alabama,15 to 17,1995,Number,195049
State,Alabama,Total less than 18,1995,Number,1110553
State,Alabama,Total less than 18,1995,Percent,1
State,Alabama,0 to 4,1995,Percent,0.27
State,Alabama,15 to 17,1995,Percent,0.18
State,Alabama,12 to 14,1995,Percent,0.17
State,Alabama,5 to 11,1994,Percent,0.38
State,Alabama,5 to 11,1995,Percent,0.38
State,Alabama,12 to 14,1994,Percent,0.17
State,Alabama,15 to 17,1994,Percent,0.17
State,Alabama,0 to 4,1994,Percent,0.27
State,Alabama,Total less than 18,1994,Percent,1
State,Alabama,Total less than 18,1994,Number,1097180
State,Alabama,15 to 17,1994,Number,189962
State,Alabama,12 to 14,1994,Number,191184
State,Alabama,5 to 11,1994,Number,414937
State,Alabama,0 to 4,1993,Number,299264
State,Alabama,0 to 4,1994,Number,301097
State,Alabama,5 to 11,1993,Number,412164
State,Alabama,15 to 17,1993,Number,185673
State,Alabama,12 to 14,1993,Number,188505
State,Alabama,Total less than 18,1993,Number,1085606
State,Alabama,0 to 4,1993,Percent,0.28
State,Alabama,Total less than 18,1993,Percent,1
State,Alabama,15 to 17,1993,Percent,0.17
State,Alabama,12 to 14,1993,Percent,0.17
State,Alabama,5 to 11,1992,Percent,0.38
State,Alabama,5 to 11,1993,Percent,0.38
State,Alabama,12 to 14,1992,Percent,0.17
State,Alabama,15 to 17,1992,Percent,0.17
State,Alabama,0 to 4,1992,Percent,0.27
State,Alabama,Total less than 18,1992,Percent,1
State,Alabama,Total less than 18,1992,Number,1072873
State,Alabama,15 to 17,1992,Number,183323
State,Alabama,12 to 14,1992,Number,184213
State,Alabama,5 to 11,1992,Number,410519
State,Alabama,5 to 11,1991,Number,411520
State,Alabama,0 to 4,1991,Number,289970
State,Alabama,0 to 4,1992,Number,294818
State,Alabama,12 to 14,1991,Number,178948
State,Alabama,15 to 17,1991,Number,180356
State,Alabama,Total less than 18,1991,Number,1060794
State,Alabama,0 to 4,1991,Percent,0.27
State,Alabama,Total less than 18,1991,Percent,1
State,Alabama,15 to 17,1991,Percent,0.17
State,Alabama,5 to 11,1991,Percent,0.39
State,Alabama,12 to 14,1991,Percent,0.17
State,Alabama,5 to 11,1990,Percent,0.39
State,Alabama,12 to 14,1990,Percent,0.17
State,Alabama,15 to 17,1990,Percent,0.17
State,Alabama,Total less than 18,1990,Percent,1
State,Alabama,0 to 4,1990,Percent,0.27
State,Alabama,Total less than 18,1990,Number,1050041
State,Alabama,15 to 17,1990,Number,180864
State,Alabama,12 to 14,1990,Number,174286
State,Alabama,5 to 11,1990,Number,409168
State,Alabama,0 to 4,1990,Number,285723
State,Alaska,0 to 4,1990,Number,56984
State,Alaska,5 to 11,1990,Number,72223
State,Alaska,12 to 14,1990,Number,25254
State,Alaska,15 to 17,1990,Number,23041
State,Alaska,Total less than 18,1990,Percent,1
State,Alaska,15 to 17,1990,Percent,0.13
State,Alaska,12 to 14,1990,Percent,0.14
State,Alaska,5 to 11,1990,Percent,0.41
State,Alaska,0 to 4,1990,Percent,0.32
State,Alaska,0 to 4,1991,Percent,0.31
State,Alaska,5 to 11,1991,Percent,0.41
State,Alaska,12 to 14,1991,Percent,0.15
State,Alaska,15 to 17,1991,Percent,0.13
State,Alaska,Total less than 18,1991,Percent,1
State,Alaska,Total less than 18,1990,Number,177502
State,Alaska,Total less than 18,1991,Number,182180
State,Alaska,15 to 17,1991,Number,23758
State,Alaska,5 to 11,1991,Number,74460
State,Alaska,12 to 14,1991,Number,26730
State,Alaska,0 to 4,1992,Number,56793
State,Alaska,5 to 11,1992,Number,75287
State,Alaska,12 to 14,1992,Number,27886
State,Alaska,15 to 17,1992,Number,24912
State,Alaska,0 to 4,1991,Number,57232
State,Alaska,Total less than 18,1992,Percent,1
State,Alaska,15 to 17,1992,Percent,0.13
State,Alaska,12 to 14,1992,Percent,0.15
State,Alaska,5 to 11,1992,Percent,0.41
State,Alaska,0 to 4,1993,Percent,0.3
State,Alaska,0 to 4,1992,Percent,0.31
State,Alaska,12 to 14,1993,Percent,0.16
State,Alaska,5 to 11,1993,Percent,0.41
State,Alaska,15 to 17,1993,Percent,0.14
State,Alaska,Total less than 18,1993,Percent,1
State,Alaska,Total less than 18,1992,Number,184878
State,Alaska,Total less than 18,1993,Number,187190
State,Alaska,12 to 14,1993,Number,29154
State,Alaska,15 to 17,1993,Number,25813
